# ---
# domain: UConstRange
# op: CountRZeroUndef
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [4, 1]
# - [8, 12]
# - [16, 20]
# - [32, 166]
# - [64, 146]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	ideal	count
64	[1, 4294967294]	[0, 31]	7
64	[18446744073709486080, 18446744073709551615]	[0, 16]	7
64	[18446744073709551360, 18446744073709551615]	[0, 8]	7
64	[2147483649, 18446744069414584320]	[0, 63]	7
64	[2147483648, 18446744073709551615]	[0, 63]	6
64	[0, 32767]	[0, 14]	6
64	[64, 128]	[0, 7]	6
64	[1, 18446744073709551360]	[0, 63]	6
64	[0, 18446744073709551360]	[0, 63]	6
64	[1, 16384]	[0, 14]	5
64	[18446744069414584321, 18446744073709551615]	[0, 31]	5
64	[1, 65534]	[0, 15]	5
64	[1, 16]	[0, 4]	4
64	[1, 18446744069414584320]	[0, 63]	4
64	[1, 1073741824]	[0, 30]	4
64	[16, 9223372036854775808]	[0, 63]	4
64	[2147483648, 2147483648]	[31, 31]	4
64	[2, 18446744071562067968]	[0, 63]	4
64	[1, 18446744071562067968]	[0, 63]	4
64	[7, 24]	[0, 4]	4
64	[15, 240]	[0, 7]	4
64	[1, 2147483647]	[0, 30]	3
64	[0, 8]	[0, 3]	3
64	[256, 18446744073709551615]	[0, 63]	3
64	[1, 9223372036854775806]	[0, 62]	3
64	[18446744073709551615, 18446744073709551615]	[0, 0]	3
64	[18446744073709551614, 18446744073709551615]	[0, 1]	3
64	[18446744073709551612, 18446744073709551615]	[0, 2]	3
64	[8, 8]	[3, 3]	3
64	[0, 18446744073709551608]	[0, 63]	3
64	[18446744073709486081, 18446744073709551615]	[0, 15]	3
64	[18446744073709551361, 18446744073709551615]	[0, 7]	3
64	[2, 2]	[1, 1]	3
64	[1, 4611686018427387903]	[0, 61]	2
64	[4, 4]	[2, 2]	2
64	[0, 64]	[0, 6]	2
64	[1, 4294967288]	[0, 31]	2
64	[0, 0]	(bottom)	2
64	[0, 18446744069414584320]	[0, 63]	2
64	[64, 64]	[6, 6]	2
64	[9223372036854775807, 18446744073709551615]	[0, 63]	2
64	[0, 1152921504606846976]	[0, 60]	2
64	[1, 17723342345328784884]	[0, 63]	2
64	[1, 18446744073709486080]	[0, 63]	2
64	[1, 268435455]	[0, 27]	2
64	[4294967296, 4294967296]	[32, 32]	2
64	[2, 18446744069414584320]	[0, 63]	2
64	[2097152, 18446744073709551615]	[0, 63]	1
64	[33554432, 33554432]	[25, 25]	1
64	[1, 256]	[0, 8]	1
64	[4, 8]	[0, 3]	1
64	[1, 64]	[0, 6]	1
64	[0, 4294967288]	[0, 31]	1
64	[1, 140737488355328]	[0, 47]	1
64	[1, 2155905152]	[0, 31]	1
64	[1, 2]	[0, 1]	1
64	[1, 3]	[0, 1]	1
64	[16384, 16384]	[14, 14]	1
64	[32, 32768]	[0, 15]	1
64	[1, 32768]	[0, 15]	1
64	[1, 33554432]	[0, 25]	1
64	[8388608, 9007199254740991]	[0, 52]	1
64	[8388608, 16777215]	[0, 23]	1
64	[1, 9223372036854775809]	[0, 63]	1
64	[2, 9223372036854775807]	[0, 62]	1
64	[1048576, 536870912]	[0, 29]	1
64	[0, 536870912]	[0, 29]	1
64	[0, 1073741824]	[0, 30]	1
64	[7, 7]	[0, 0]	1
64	[224, 224]	[5, 5]	1
64	[65024, 65024]	[9, 9]	1
64	[15, 15]	[0, 0]	1
64	[1, 281474976710655]	[0, 47]	1
64	[4294967296, 18446744073709551615]	[0, 63]	1
64	[0, 1]	[0, 0]	1
64	[1, 128]	[0, 7]	1
128	[1, 340282366920938463463374607431768211455]	[0, 127]	3
