# ---
# domain: SConstRange
# op: CountLZero
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [8, 3]
# - [16, 7]
# - [32, 56]
# - [64, 448]
# - [128, 3]
# hbw: []
# ---
bw	arg_0	ideal	count
64	[441, 441]	[55, 55]	4
64	[433, 433]	[55, 55]	4
64	[425, 425]	[55, 55]	4
64	[409, 409]	[55, 55]	4
64	[401, 401]	[55, 55]	4
64	[393, 393]	[55, 55]	4
64	[385, 385]	[55, 55]	4
64	[377, 377]	[55, 55]	4
64	[369, 369]	[55, 55]	4
64	[353, 353]	[55, 55]	4
64	[345, 345]	[55, 55]	4
64	[337, 337]	[55, 55]	4
64	[329, 329]	[55, 55]	4
64	[321, 321]	[55, 55]	4
64	[313, 313]	[55, 55]	4
64	[305, 305]	[55, 55]	4
64	[289, 289]	[55, 55]	4
64	[281, 281]	[55, 55]	4
64	[273, 273]	[55, 55]	4
64	[1905, 1905]	[53, 53]	4
64	[1897, 1897]	[53, 53]	4
64	[265, 265]	[55, 55]	4
64	[257, 257]	[55, 55]	4
64	[233, 233]	[56, 56]	4
64	[225, 225]	[56, 56]	4
64	[217, 217]	[56, 56]	4
64	[209, 209]	[56, 56]	4
64	[201, 201]	[56, 56]	4
64	[193, 193]	[56, 56]	4
64	[185, 185]	[56, 56]	4
64	[177, 177]	[56, 56]	4
64	[169, 169]	[56, 56]	4
64	[161, 161]	[56, 56]	4
64	[153, 153]	[56, 56]	4
64	[145, 145]	[56, 56]	4
64	[137, 137]	[56, 56]	4
64	[129, 129]	[56, 56]	4
64	[113, 113]	[57, 57]	4
64	[1321, 1321]	[53, 53]	4
64	[2, 17]	[59, 62]	4
64	[56, 65]	[57, 58]	4
64	[24, 73]	[57, 59]	4
64	[48, 617]	[54, 58]	4
64	[40, 633]	[54, 58]	4
64	[56, 1737]	[53, 58]	4
64	[8, 81]	[57, 60]	4
64	[0, 288230376151711743]	[6, 64]	3
64	[1, 4294967294]	[32, 63]	3
64	[-70, 33554488]	[0, 64]	3
64	[-6, 33554552]	[0, 64]	3
64	[-66, 4294967229]	[0, 64]	3
64	[-2, 4294967293]	[0, 64]	3
64	[-4294967295, 9223372036854775807]	[0, 64]	3
64	[-510, 510]	[0, 64]	3
64	[-131070, 131070]	[0, 64]	3
64	[1, 1073741823]	[34, 63]	3
64	[0, 66044]	[47, 64]	3
64	[1, 4294967296]	[31, 63]	3
64	[0, 536870910]	[35, 64]	3
64	[0, 2305843009213693950]	[3, 64]	3
64	[8, 4294967294]	[32, 60]	3
64	[2, 35]	[58, 62]	3
64	[-1, 281474976645119]	[0, 64]	3
64	[4084, 65522]	[48, 52]	2
64	[4083, 65521]	[48, 52]	2
64	[-255, 255]	[0, 64]	2
64	[-6442450943, 6442450942]	[0, 64]	2
64	[-65535, 65535]	[0, 64]	2
64	[63, 63]	[58, 58]	2
64	[8, 361]	[55, 60]	2
64	[-768614336404564650, 768614336404564650]	[0, 64]	2
64	[-164703072086692425, 164703072086692425]	[0, 64]	2
64	[2, 2147483648]	[32, 62]	2
64	[-1, 2049638230412172400]	[0, 64]	2
64	[-1, 6148914691236517204]	[0, 64]	2
64	[1, 128]	[56, 63]	2
64	[0, 576460752303423486]	[5, 64]	2
64	[1, 95]	[57, 63]	2
64	[1, 131]	[56, 63]	2
64	[1, 167]	[56, 63]	2
64	[1, 227]	[56, 63]	2
64	[2, 113]	[57, 62]	2
64	[4, 35]	[58, 61]	2
64	[1, 99]	[57, 63]	2
64	[1, 127]	[57, 63]	2
64	[0, 4503599627370496]	[11, 64]	2
64	[1, 4611686018427387904]	[1, 63]	1
64	[1, 204963823041217239]	[6, 63]	1
64	[1, 152452430361235962]	[6, 63]	1
64	[1, 122163868037811599]	[7, 63]	1
64	[9223372036854775806, 9223372036854775807]	[1, 1]	1
64	[16383, 4206591]	[41, 50]	1
64	[-383, 382]	[0, 64]	1
64	[-65535, 9223372036854775807]	[0, 64]	1
64	[-255, 9223372036854775807]	[0, 64]	1
64	[-98303, 98302]	[0, 64]	1
64	[8, 57]	[58, 60]	1
64	[24, 369]	[55, 59]	1
64	[8, 489]	[55, 60]	1
64	[8, 337]	[55, 60]	1
64	[16, 57]	[58, 59]	1
64	[16, 97]	[57, 59]	1
64	[8, 137]	[56, 60]	1
64	[8, 265]	[55, 60]	1
64	[4001, 4001]	[52, 52]	1
64	[8, 4001]	[52, 60]	1
64	[8, 801]	[54, 60]	1
64	[8, 2441]	[52, 60]	1
64	[24, 121]	[57, 59]	1
64	[8, 241]	[56, 60]	1
64	[10000, 4294967295]	[32, 50]	1
64	[0, 63]	[58, 64]	1
64	[8, 4096]	[51, 60]	1
64	[2, 4294967295]	[32, 62]	1
64	[2, 4]	[61, 62]	1
64	[1, 16]	[59, 63]	1
64	[2, 4294967296]	[31, 62]	1
64	[0, 477218588]	[35, 64]	1
64	[0, 858993459]	[34, 64]	1
64	[1, 1431655765]	[33, 63]	1
64	[0, 536870912]	[34, 64]	1
64	[0, 2305843009213693952]	[2, 64]	1
64	[0, 4294967287]	[32, 64]	1
64	[1, 536870911]	[35, 63]	1
64	[4, 16]	[59, 61]	1
64	[1, 2147483648]	[32, 63]	1
64	[32, 2147483648]	[32, 58]	1
64	[4, 23]	[59, 61]	1
64	[1, 19]	[59, 63]	1
64	[8, 49]	[58, 60]	1
64	[4, 31]	[59, 61]	1
64	[2, 31]	[59, 62]	1
64	[24, 49]	[58, 59]	1
64	[33, 57]	[58, 58]	1
64	[8, 16383]	[50, 60]	1
64	[-1, 1152921504607371263]	[0, 64]	1
64	[8, 8191]	[51, 60]	1
64	[-1, 35184372596735]	[0, 64]	1
128	[0, 9223372036854775807]	[65, 128]	754
128	[-170141183460469231731687303715884105728, 170141183460469231731687303715884105727]	[0, 128]	61
128	[0, 4503599627370495]	[76, 128]	2
